total_lots,lot_type,lots_available,carpark_number,update_datetime,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,latitude,longitude
833,C,575,W49,2023-02-27T09:37:44,BLK 839A WOODLANDS STREET 82,23405.0247,47174.9596,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10.0,2.0,N,1.4429076813582187,103.79202821147776
254,C,201,W50,2021-04-23T11:38:55,BLK 846A WOODLANDS AVENUE 4,23590.4851,47176.9397,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10.0,2.0,N,1.4429256184927484,103.79369475477245
304,C,242,W51,2021-04-23T11:38:55,BLK 866A WOODLANDS STREET 83,23472.5842,47106.6555,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10.0,2.0,N,1.442289975024284,103.79263531082356
539,C,313,W36,2023-02-27T09:37:35,BLK 801-810 WOODLANDS STREET 81,22780.8105,47005.8672,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,4.5,N,1.441378362111539,103.78641906620308
116,C,81,W10,2023-02-27T09:37:41,BLK 4/5 MARSILING ROAD,21545.6709,46781.8077,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,4.5,N,1.4393517930056603,103.77532018596425
57,C,17,W6,2023-02-27T09:37:35,BLK 15/16 MARSILING LANE,21838.7773,47085.957,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,4.0,N,1.4421024735721881,103.77795396332422
275,C,165,W181,2023-02-27T09:37:40,BLK 181 MARSILING ROAD,21988.2079,46815.199,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,3.0,2.15,N,1.4396538699810102,103.77929680078397
330,C,181,W14,2023-02-27T09:36:33,BLK 210/218 MARSILING CRESCENT,21284.6738,47633.2891,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0.0,0.0,N,1.4470522162929949,103.77297467231821
412,C,227,PM6,2023-02-27T09:36:32,BLK 245A PASIR RIS STREET 21,42477.8773,39204.2227,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10.0,1.9,N,1.3708200282252279,103.96341243438134
398,C,260,PM17,2023-02-27T09:36:45,BLK 142A PASIR RIS STREET 11,42071.2657,38321.6853,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10.0,2.0,N,1.362838891434807,103.95975833337505
